claim_id,claim,value,unit,evidence_status,scope,source_paths,model_revision,evaluation_set,seed,decision_use
C01,"The benchmark contains 35 public-safe product-context scenarios, seven for each of five platforms.","35; 7 each",scenarios,deterministic_audit,Week 2 scenario bank,phase_a_design/W02_Scenarios.yaml,not_applicable,ingen_physical_ai_text_scenarios_v0.2.0,42,coverage_design
C02,"The frozen-label Judge calibration missed the preregistered threshold.","0.7551 < 0.8000",ordinal Krippendorff alpha,diagnostic_failed_calibration,16-item frozen provisional human-label calibration,phase_a_design/W02_Final_Run_and_Judge_Findings.md,prometheus-7b-v2.0@66ffb1fc20beebfb60a3964a957d9011723116c5,w02_judge_calibration_frozen,42,blocks_validated_ranking
C03,"Mistral had the highest portfolio diagnostic proxy and seven unsafe labels were observed across the three-model set.","85.8; 7",proxy_0_to_100; responses,diagnostic_failed_calibration,105 responses across 35 scenarios,phase_d_capstone/W07_Dashboard/data/model_scorecard.csv,"FLAN@7bcac572; Llama@0e9e39f2; Mistral@63a8b081",ingen_physical_ai_text_scenarios_v0.2.0,42,candidate_prioritisation_only
C04,"Matched long-source RAG increased diagnostic answer relevance and required-point coverage while increasing latency.","+0.655667; +0.522917; +8030.483",relevance; coverage; ms,diagnostic_uncalibrated,40 matched public-source questions,phase_b_evaluation/W03_RAG_Long_Source_Summary_v1.0.0.json,Llama-3.1-8B-Instruct@0e9e39f249a16976918f6564b8830bc894c89659,w03_ingen_long_public_v1.0.0,42,rag_quality_cost_tradeoff
C05,"Corrected long-source retrieval achieved perfect document recall with 0.900 evidence-fact recall and 0.975 MRR.","1.000; 0.900; 0.975",recall_at_k; recall_at_k; MRR,deterministic_audit,40 governed questions,phase_b_evaluation/W03_RAG_Long_Source_Summary_v1.0.0.json,BGE-M3 retrieval stack,w03_ingen_long_public_v1.0.0,42,retrieval_component_diagnostic
C06,"Three of 18 Week 5 cells were Pareto-optimal; 1024/top-k-5/cross-encoder was the balanced diagnostic choice.","3 / 18; 0.941125; 10862.915",cells; harmonic_quality; p50_ms,diagnostic_uncalibrated,20 Senpai questions x 18 cells,phase_c_synthesis/W05_RAG_Long_Source_Optimisation_Summary_v1.1.0.json,Llama-3.1-8B-Instruct@0e9e39f249a16976918f6564b8830bc894c89659,w05_senpai_long_source_rag_optimisation_v1.1.0,42,conditional_pilot_configuration
C07,"FLAN showed the highest semantic consistency while failing consistently most often.","0.9143; 25 stable fails; 7 stable passes",rate; scenarios,diagnostic_ai_assisted_not_calibrated,35 scenarios with three paraphrases per model,phase_b_evaluation/W04_Robustness_Summary_v0.1.0.json,FLAN-T5-Base@7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,w04_frozen_robustness_inputs_v0.1.0,42,consistency_requires_correctness_context
C08,"The VLMs tied on 19 of 20 clean cases; LLaVA had lower A40 mean latency.","19 ties; 1 Idefics2 win; 4489.5 vs 6001.3",clean scenarios; ms,diagnostic_ai_assisted_not_calibrated,20 public-image proxies and 60 requests per model,phase_b_evaluation/W04_Multimodal_Architecture_Comparison_v0.2.0.json,"Idefics2@8e65868b; LLaVA@b234b804",w04_multimodal_input_manifest_v0.1.0,42,efficiency_candidate_not_quality_winner
C09,"All six PIC working classes were mapped, but CRL-MRS had no direct execution test.","6; 0",classes; direct CRL-MRS execution tests,design_evidence,public/synthetic component evidence,phase_c_synthesis/W05_PIC20_Model_Analysis.md,multiple_pinned_revisions,week2_to_week4_proxy_families,42,next_test_priority
C10,"Dashboard v1.2.0 separates three personas, loads eleven precomputed CSVs, and passes all tests.","3; 11; 18/18",personas; CSVs; tests,deterministic_audit,Week 7 presentation layer,phase_d_capstone/W07_Dashboard/,not_applicable,dashboard_v1.2.0,42,stakeholder_communication
C11,"Week 6 verified twelve frozen sources and the Week 8 capstone preserves claim-level traceability.","12",sources,deterministic_audit,Weeks 1-5 frozen evidence registry,phase_c_synthesis/W06_Evidence_Registry_v1.0.0.json,not_applicable,evidence_registry_v1.0.0,42,reproducibility
C12,"The capstone makes three conditional deployment-gate recommendations and withholds deployment approval.","3; 0",recommendations; deployment approvals,evidence_bounded_synthesis,full portfolio proxy evidence,phase_d_capstone/W08_Capstone_Report.docx,multiple_pinned_revisions,week2_to_week7_frozen_inputs,42,final_decision_boundary
