run_item_id,eval_id,platform,question_type,answerability,difficulty,condition,model_id,model_revision,seed,document_id_recall_at_k,evidence_fact_recall_at_k,hit_at_k,reciprocal_rank,retrieval_latency_ms,generation_latency_ms,input_tokens,output_tokens,answer_relevance,faithfulness,faithfulness_to_retrieved_context,context_relevance,context_recall,context_precision,required_point_coverage,forbidden_point_violation_count,coverage_score_status,ragas_score_status
W03-LONG-FARI-001::base,W03-LONG-FARI-001,Fari,epistemic_status,not_established,medium,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,2273.863,114,11,0.0,,,,,,0.25,0,parsed,complete
W03-LONG-FARI-001::rag,W03-LONG-FARI-001,Fari,epistemic_status,not_established,medium,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,0.5,True,1.0,1459.385,12190.59,3761,325,0.0,0.125,0.125,,,,1.0,0,parsed,complete
W03-LONG-FARI-002::base,W03-LONG-FARI-002,Fari,local_detail,answerable,easy,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,371.862,107,11,0.0,,,,,,0.5,0,parsed_after_deterministic_repair,complete
W03-LONG-FARI-002::rag,W03-LONG-FARI-002,Fari,local_detail,answerable,easy,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,1322.891,3151.013,3646,72,0.9840038186475679,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-FARI-003::base,W03-LONG-FARI-003,Fari,coverage_list,answerable,medium,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,460.085,112,11,0.0,,,,,,0.5,0,parsed_after_deterministic_repair,complete
W03-LONG-FARI-003::rag,W03-LONG-FARI-003,Fari,coverage_list,answerable,medium,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,993.451,3571.175,3741,83,0.9231196011442412,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-FARI-004::base,W03-LONG-FARI-004,Fari,multi_section_safety,answerable,hard,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,1097.46,117,33,0.0,,,,,,0.5,0,parsed,complete
W03-LONG-FARI-004::rag,W03-LONG-FARI-004,Fari,multi_section_safety,answerable,hard,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,0.5,True,1.0,1004.638,14092.0,3811,379,0.0,0.8888888888888888,0.8888888888888888,,,,1.0,0,parsed,complete
W03-LONG-FARI-005::base,W03-LONG-FARI-005,Fari,privacy_synthesis,answerable,hard,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,373.028,114,11,0.0,,,,,,0.75,0,parsed,complete
W03-LONG-FARI-005::rag,W03-LONG-FARI-005,Fari,privacy_synthesis,answerable,hard,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,1109.96,16773.114,3716,453,0.951087987086118,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-FARI-006::base,W03-LONG-FARI-006,Fari,governance_fact,answerable,medium,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,368.369,117,11,0.0,,,,,,0.5,0,parsed,complete
W03-LONG-FARI-006::rag,W03-LONG-FARI-006,Fari,governance_fact,answerable,medium,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,971.861,7243.696,3878,185,0.6706012830329807,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-FARI-007::base,W03-LONG-FARI-007,Fari,technical_safety,answerable,medium,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,372.478,110,11,0.0,,,,,,0.5,0,parsed_after_deterministic_repair,complete
W03-LONG-FARI-007::rag,W03-LONG-FARI-007,Fari,technical_safety,answerable,medium,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,1063.227,6400.843,3823,162,0.6867566455204961,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-FARI-008::base,W03-LONG-FARI-008,Fari,table_multi_field,answerable,hard,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,367.807,115,11,0.0,,,,,,0.0,0,parsed,complete
W03-LONG-FARI-008::rag,W03-LONG-FARI-008,Fari,table_multi_field,answerable,hard,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,0.5,1003.889,12323.383,3582,332,0.9277656811983995,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-FARI-009::base,W03-LONG-FARI-009,Fari,ordered_multi_chunk_workflow,answerable,hard,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,734.771,110,22,0.0,,,,,,0.166667,0,parsed,complete
W03-LONG-FARI-009::rag,W03-LONG-FARI-009,Fari,ordered_multi_chunk_workflow,answerable,hard,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,1135.111,8586.529,3792,224,0.8966380827608441,0.8461538461538461,0.8461538461538461,,,,1.0,0,parsed,complete
W03-LONG-FARI-010::base,W03-LONG-FARI-010,Fari,interface_comparison,answerable,medium,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,6220.377,112,188,0.9572370859517054,,,,,,1.0,0,parsed,complete
W03-LONG-FARI-010::rag,W03-LONG-FARI-010,Fari,interface_comparison,answerable,medium,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,1139.319,9120.108,3752,240,0.9403462900605679,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-FARI-011::base,W03-LONG-FARI-011,Fari,specification_with_status,answerable,hard,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,698.537,116,21,0.0,,,,,,0.5,0,parsed,complete
W03-LONG-FARI-011::rag,W03-LONG-FARI-011,Fari,specification_with_status,answerable,hard,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,0.5,True,1.0,1028.19,4856.155,3752,119,0.6833563934133396,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-FARI-012::base,W03-LONG-FARI-012,Fari,architecture_synthesis,answerable,hard,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,371.306,108,11,0.0,,,,,,0.5,0,parsed,complete
W03-LONG-FARI-012::rag,W03-LONG-FARI-012,Fari,architecture_synthesis,answerable,hard,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,1084.84,12928.32,3872,344,0.9785865685564971,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-FARI-013::base,W03-LONG-FARI-013,Fari,ux_governance_synthesis,answerable,hard,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,10093.532,109,305,0.6979694367464618,,,,,,1.0,0,parsed,complete
W03-LONG-FARI-013::rag,W03-LONG-FARI-013,Fari,ux_governance_synthesis,answerable,hard,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,1102.309,11401.604,3667,304,0.9676531760362307,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-FARI-014::base,W03-LONG-FARI-014,Fari,long_range_synthesis,answerable,hard,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,369.603,114,11,0.0,,,,,,0.25,0,parsed,complete
W03-LONG-FARI-014::rag,W03-LONG-FARI-014,Fari,long_range_synthesis,answerable,hard,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,0.5,1040.864,5596.617,3890,139,0.4897205779809692,0.8333333333333334,0.8333333333333334,,,,1.0,0,parsed,complete
W03-LONG-FARI-015::base,W03-LONG-FARI-015,Fari,privacy_boundary,answerable,medium,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,372.379,116,11,0.0,,,,,,0.5,0,parsed,complete
W03-LONG-FARI-015::rag,W03-LONG-FARI-015,Fari,privacy_boundary,answerable,medium,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,1069.546,4489.484,3840,108,0.6968330351866464,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-FARI-016::base,W03-LONG-FARI-016,Fari,data_flow,answerable,medium,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,371.516,110,11,0.0,,,,,,0.5,0,parsed_after_deterministic_repair,complete
W03-LONG-FARI-016::rag,W03-LONG-FARI-016,Fari,data_flow,answerable,medium,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,1078.419,6672.609,3706,171,0.9156386474927055,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-FARI-017::base,W03-LONG-FARI-017,Fari,model_component_boundary,answerable,hard,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,792.573,112,24,0.0,,,,,,0.5,0,parsed,complete
W03-LONG-FARI-017::rag,W03-LONG-FARI-017,Fari,model_component_boundary,answerable,hard,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,0.0,True,1.0,948.213,12273.484,3798,327,0.8150155387427539,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-FARI-018::base,W03-LONG-FARI-018,Fari,edge_capability,answerable,medium,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,180.401,107,5,0.0,,,,,,0.5,0,parsed,complete
W03-LONG-FARI-018::rag,W03-LONG-FARI-018,Fari,edge_capability,answerable,medium,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,0.0,True,1.0,1132.23,18903.346,3858,512,0.5065929368065691,0.9,0.9,,,,1.0,0,parsed,complete
W03-LONG-FARI-019::base,W03-LONG-FARI-019,Fari,accessibility,answerable,easy,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,375.207,108,11,0.0,,,,,,0.0,0,parsed_after_deterministic_repair,complete
W03-LONG-FARI-019::rag,W03-LONG-FARI-019,Fari,accessibility,answerable,easy,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,1005.903,1019.868,3753,11,0.5829006665018392,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-FARI-020::base,W03-LONG-FARI-020,Fari,mechanism_status_distinction,answerable,hard,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,372.028,118,11,0.0,,,,,,0.5,0,parsed,complete
W03-LONG-FARI-020::rag,W03-LONG-FARI-020,Fari,mechanism_status_distinction,answerable,hard,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,0.5,True,1.0,1187.64,15727.681,3721,426,0.4143290232926565,0.0,0.0,,,,1.0,0,parsed,complete
W03-LONG-SENPAI-001::base,W03-LONG-SENPAI-001,Senpai,epistemic_status,answerable,medium,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,628.98,113,19,0.0,,,,,,1.0,0,parsed,complete
W03-LONG-SENPAI-001::rag,W03-LONG-SENPAI-001,Senpai,epistemic_status,answerable,medium,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,1076.387,3423.025,3686,79,0.0,0.2857142857142857,0.2857142857142857,,,,1.0,0,parsed,complete
W03-LONG-SENPAI-002::base,W03-LONG-SENPAI-002,Senpai,pedagogy_synthesis,answerable,medium,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,373.711,111,11,0.0,,,,,,0.5,0,parsed_after_deterministic_repair,complete
W03-LONG-SENPAI-002::rag,W03-LONG-SENPAI-002,Senpai,pedagogy_synthesis,answerable,medium,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,1028.184,3432.744,3839,78,0.8673714677988298,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-SENPAI-003::base,W03-LONG-SENPAI-003,Senpai,technical_multi_fact,answerable,hard,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,473.414,115,14,0.0,,,,,,0.5,0,parsed,complete
W03-LONG-SENPAI-003::rag,W03-LONG-SENPAI-003,Senpai,technical_multi_fact,answerable,hard,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,980.13,6534.125,3753,165,0.7898793924185532,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-SENPAI-004::base,W03-LONG-SENPAI-004,Senpai,interface_comparison,answerable,hard,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,380.583,112,11,0.0,,,,,,0.5,0,parsed,complete
W03-LONG-SENPAI-004::rag,W03-LONG-SENPAI-004,Senpai,interface_comparison,answerable,hard,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,1037.029,10797.115,3775,285,0.8165299394850688,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-SENPAI-005::base,W03-LONG-SENPAI-005,Senpai,multi_fact_pedagogy,answerable,hard,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,612.639,112,18,0.0,,,,,,0.666667,0,parsed,complete
W03-LONG-SENPAI-005::rag,W03-LONG-SENPAI-005,Senpai,multi_fact_pedagogy,answerable,hard,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,998.124,7269.179,3822,186,0.7957505001783441,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-SENPAI-006::base,W03-LONG-SENPAI-006,Senpai,inclusive_design,answerable,medium,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,368.597,111,11,0.0,,,,,,0.25,0,parsed,complete
W03-LONG-SENPAI-006::rag,W03-LONG-SENPAI-006,Senpai,inclusive_design,answerable,medium,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,1091.747,6585.13,3752,168,0.757716412848064,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-SENPAI-007::base,W03-LONG-SENPAI-007,Senpai,safety_mechanism,answerable,medium,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,372.328,111,11,0.0,,,,,,0.5,0,parsed_after_deterministic_repair,complete
W03-LONG-SENPAI-007::rag,W03-LONG-SENPAI-007,Senpai,safety_mechanism,answerable,medium,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,1115.383,4584.014,3888,110,0.7180519320926084,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-SENPAI-008::base,W03-LONG-SENPAI-008,Senpai,compliance_status,not_established,medium,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,174.517,107,5,0.0,,,,,,0.5,0,parsed,complete
W03-LONG-SENPAI-008::rag,W03-LONG-SENPAI-008,Senpai,compliance_status,not_established,medium,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,1045.598,16182.428,3820,436,0.6596666040882425,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-SENPAI-009::base,W03-LONG-SENPAI-009,Senpai,architecture_synthesis,answerable,hard,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,368.433,114,11,0.0,,,,,,0.5,0,parsed_after_deterministic_repair,complete
W03-LONG-SENPAI-009::rag,W03-LONG-SENPAI-009,Senpai,architecture_synthesis,answerable,hard,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,1010.056,3991.158,3835,94,0.868130051346874,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-SENPAI-010::base,W03-LONG-SENPAI-010,Senpai,table_multi_field,answerable,hard,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,370.314,115,11,0.0,,,,,,0.5,0,parsed,complete
W03-LONG-SENPAI-010::rag,W03-LONG-SENPAI-010,Senpai,table_multi_field,answerable,hard,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,1022.113,12857.135,3789,342,0.9486251206532005,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-SENPAI-011::base,W03-LONG-SENPAI-011,Senpai,model_component_boundary,answerable,hard,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,1029.126,118,31,0.0,,,,,,0.5,0,parsed,complete
W03-LONG-SENPAI-011::rag,W03-LONG-SENPAI-011,Senpai,model_component_boundary,answerable,hard,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,962.343,10764.178,3844,283,0.9214487661752724,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-SENPAI-012::base,W03-LONG-SENPAI-012,Senpai,privacy_synthesis,answerable,hard,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,1140.611,120,34,0.0,,,,,,0.5,0,parsed_after_deterministic_repair,complete
W03-LONG-SENPAI-012::rag,W03-LONG-SENPAI-012,Senpai,privacy_synthesis,answerable,hard,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,1134.004,16193.698,3789,436,0.8639540585621096,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-SENPAI-013::base,W03-LONG-SENPAI-013,Senpai,v_model,answerable,medium,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,373.158,108,11,0.0,,,,,,0.0,0,parsed_after_deterministic_repair,complete
W03-LONG-SENPAI-013::rag,W03-LONG-SENPAI-013,Senpai,v_model,answerable,medium,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,1098.486,11763.193,3752,312,0.9223439895723899,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-SENPAI-014::base,W03-LONG-SENPAI-014,Senpai,audience_coverage,answerable,easy,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,371.829,105,11,0.0,,,,,,0.0,0,parsed_after_deterministic_repair,complete
W03-LONG-SENPAI-014::rag,W03-LONG-SENPAI-014,Senpai,audience_coverage,answerable,easy,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,1076.585,5907.197,3682,150,0.869139662973153,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-SENPAI-015::base,W03-LONG-SENPAI-015,Senpai,safety_rule_application,answerable,medium,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,370.386,112,11,0.0,,,,,,0.5,0,parsed_after_deterministic_repair,complete
W03-LONG-SENPAI-015::rag,W03-LONG-SENPAI-015,Senpai,safety_rule_application,answerable,medium,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,1046.908,4254.664,3789,101,0.6701601394700516,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-SENPAI-016::base,W03-LONG-SENPAI-016,Senpai,screen_coverage,answerable,easy,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,373.726,107,11,0.0,,,,,,0.5,0,parsed,complete
W03-LONG-SENPAI-016::rag,W03-LONG-SENPAI-016,Senpai,screen_coverage,answerable,easy,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,989.092,5268.006,3789,130,0.8459665295258892,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-SENPAI-017::base,W03-LONG-SENPAI-017,Senpai,context_separation,answerable,medium,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,403.941,110,12,0.0,,,,,,0.5,0,parsed_after_deterministic_repair,complete
W03-LONG-SENPAI-017::rag,W03-LONG-SENPAI-017,Senpai,context_separation,answerable,medium,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,969.977,10582.86,3736,281,0.0,1.0,1.0,,,,1.0,0,parsed,complete
W03-LONG-SENPAI-018::base,W03-LONG-SENPAI-018,Senpai,specification_with_status,answerable,hard,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,626.894,107,19,0.0,,,,,,1.0,0,parsed,complete
W03-LONG-SENPAI-018::rag,W03-LONG-SENPAI-018,Senpai,specification_with_status,answerable,hard,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,975.304,6582.215,3801,167,0.7574839485447776,0.6666666666666666,0.6666666666666666,,,,1.0,0,parsed,complete
W03-LONG-SENPAI-019::base,W03-LONG-SENPAI-019,Senpai,versioned_terminology,answerable,hard,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,382.269,118,11,0.0,,,,,,0.25,0,parsed,complete
W03-LONG-SENPAI-019::rag,W03-LONG-SENPAI-019,Senpai,versioned_terminology,answerable,hard,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,1039.759,17256.086,3823,467,0.7787377505745584,0.5,0.5,,,,1.0,0,parsed,complete
W03-LONG-SENPAI-020::base,W03-LONG-SENPAI-020,Senpai,unanswerable_certification,not_established,medium,base,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,,,,,,410.171,111,11,0.0,,,,,,0.0,0,parsed_after_deterministic_repair,complete
W03-LONG-SENPAI-020::rag,W03-LONG-SENPAI-020,Senpai,unanswerable_certification,not_established,medium,rag,meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,42,1.0,1.0,True,1.0,1104.54,5912.342,3747,149,0.0,0.6666666666666666,0.6666666666666666,,,,0.5,0,parsed,complete
