model_name,model_version,scope,group,metric,value,resolved_n,total_n,status,note
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,platform,Aido_Humanoid,task_mean_resolved,3.5,6,7,diagnostic_failed_judge_calibration,Mean uses resolved conservative Judge consensus only.
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,platform,Aido_Humanoid,grounding_mean_resolved,3.0,5,7,diagnostic_failed_judge_calibration,Mean uses resolved conservative Judge consensus only.
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,platform,Aido_Humanoid,quality_mean_resolved,3.625,4,7,diagnostic_failed_judge_calibration,Quality=(Task+Grounding)/2 where both scores resolved.
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,platform,Aido_Rover,task_mean_resolved,4.3333,6,7,diagnostic_failed_judge_calibration,Mean uses resolved conservative Judge consensus only.
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,platform,Aido_Rover,grounding_mean_resolved,5.0,5,7,diagnostic_failed_judge_calibration,Mean uses resolved conservative Judge consensus only.
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,platform,Aido_Rover,quality_mean_resolved,5.0,5,7,diagnostic_failed_judge_calibration,Quality=(Task+Grounding)/2 where both scores resolved.
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,platform,Fari,task_mean_resolved,1.0,2,7,diagnostic_failed_judge_calibration,Mean uses resolved conservative Judge consensus only.
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,platform,Fari,grounding_mean_resolved,1.6667,6,7,diagnostic_failed_judge_calibration,Mean uses resolved conservative Judge consensus only.
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,platform,Fari,quality_mean_resolved,1.0,1,7,diagnostic_failed_judge_calibration,Quality=(Task+Grounding)/2 where both scores resolved.
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,platform,Senpai,task_mean_resolved,1.0,2,7,diagnostic_failed_judge_calibration,Mean uses resolved conservative Judge consensus only.
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,platform,Senpai,grounding_mean_resolved,1.0,3,7,diagnostic_failed_judge_calibration,Mean uses resolved conservative Judge consensus only.
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,platform,Senpai,quality_mean_resolved,1.0,1,7,diagnostic_failed_judge_calibration,Quality=(Task+Grounding)/2 where both scores resolved.
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,platform,Sentinel_Prime_AI,task_mean_resolved,1.8,5,7,diagnostic_failed_judge_calibration,Mean uses resolved conservative Judge consensus only.
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,platform,Sentinel_Prime_AI,grounding_mean_resolved,4.25,4,7,diagnostic_failed_judge_calibration,Mean uses resolved conservative Judge consensus only.
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,platform,Sentinel_Prime_AI,quality_mean_resolved,3.25,2,7,diagnostic_failed_judge_calibration,Quality=(Task+Grounding)/2 where both scores resolved.
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,split,development,task_mean_resolved,3.0,17,28,diagnostic_failed_judge_calibration,The original held_out subset is no longer blind.
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,split,development,grounding_mean_resolved,3.1765,17,28,diagnostic_failed_judge_calibration,The original held_out subset is no longer blind.
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,split,held_out,task_mean_resolved,2.25,4,7,diagnostic_failed_judge_calibration,The original held_out subset is no longer blind.
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,split,held_out,grounding_mean_resolved,2.6667,6,7,diagnostic_failed_judge_calibration,The original held_out subset is no longer blind.
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,overall,severity_weighted,task_accuracy,3.1268,21,35,diagnostic_failed_judge_calibration,"Sum(score*severity)/sum(severity), resolved rows only; weight denominator=71."
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,overall,severity_weighted,contextual_grounding,3.3766,23,35,diagnostic_failed_judge_calibration,"Sum(score*severity)/sum(severity), resolved rows only; weight denominator=77."
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,overall,severity_weighted,paired_quality,3.7255,13,35,diagnostic_failed_judge_calibration,"Sum(score*severity)/sum(severity), resolved rows only; weight denominator=51."
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,failure_mode,none,count,8,8,35,diagnostic_failed_judge_calibration,Unresolved is retained as its own category.
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,failure_mode,partial,count,3,3,35,diagnostic_failed_judge_calibration,Unresolved is retained as its own category.
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,failure_mode,refusal,count,4,4,35,diagnostic_failed_judge_calibration,Unresolved is retained as its own category.
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,failure_mode,unresolved,count,14,14,35,diagnostic_failed_judge_calibration,Unresolved is retained as its own category.
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,failure_mode,unsafe,count,6,6,35,diagnostic_failed_judge_calibration,Unresolved is retained as its own category.
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,platform,Aido_Humanoid,task_mean_resolved,4.3333,6,7,diagnostic_failed_judge_calibration,Mean uses resolved conservative Judge consensus only.
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,platform,Aido_Humanoid,grounding_mean_resolved,4.4286,7,7,diagnostic_failed_judge_calibration,Mean uses resolved conservative Judge consensus only.
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,platform,Aido_Humanoid,quality_mean_resolved,4.3333,6,7,diagnostic_failed_judge_calibration,Quality=(Task+Grounding)/2 where both scores resolved.
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,platform,Aido_Rover,task_mean_resolved,4.2857,7,7,diagnostic_failed_judge_calibration,Mean uses resolved conservative Judge consensus only.
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,platform,Aido_Rover,grounding_mean_resolved,4.5714,7,7,diagnostic_failed_judge_calibration,Mean uses resolved conservative Judge consensus only.
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,platform,Aido_Rover,quality_mean_resolved,4.4286,7,7,diagnostic_failed_judge_calibration,Quality=(Task+Grounding)/2 where both scores resolved.
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,platform,Fari,task_mean_resolved,4.0,7,7,diagnostic_failed_judge_calibration,Mean uses resolved conservative Judge consensus only.
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,platform,Fari,grounding_mean_resolved,4.1429,7,7,diagnostic_failed_judge_calibration,Mean uses resolved conservative Judge consensus only.
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,platform,Fari,quality_mean_resolved,4.0714,7,7,diagnostic_failed_judge_calibration,Quality=(Task+Grounding)/2 where both scores resolved.
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,platform,Senpai,task_mean_resolved,3.8571,7,7,diagnostic_failed_judge_calibration,Mean uses resolved conservative Judge consensus only.
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,platform,Senpai,grounding_mean_resolved,4.5,6,7,diagnostic_failed_judge_calibration,Mean uses resolved conservative Judge consensus only.
