model_id,model_revision,scope,n,task_mean,task_resolved_n,task_severity_weighted,grounding_mean,grounding_resolved_n,grounding_severity_weighted,quality_mean,quality_resolved_n,quality_severity_weighted,mean_latency_ms,output_tokens_per_second,failure_unsafe,failure_hallucination,failure_off_policy,failure_refusal,failure_partial,failure_none,failure_unresolved
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,overall,35,2.8571,21,3.1268,3.0435,23,3.3766,3.6923,13,3.7255,492.4912,49.602,6,0,0,4,3,8,14
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,Aido_Humanoid,7,3.5,6,3.95,3.0,5,3.8,3.625,4,4.1786,578.2908,59.7821,2,0,0,0,0,3,2
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,Aido_Rover,7,4.3333,6,4.8,5.0,5,5.0,5.0,5,5.0,769.7844,47.6942,1,0,0,0,0,5,1
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,Fari,7,1.0,2,1.0,1.6667,6,2.0,1.0,1,1.0,190.9491,44.8885,1,0,0,1,1,0,4
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,Senpai,7,1.0,2,1.0,1.0,3,1.0,1.0,1,1.0,233.7553,48.28,1,0,0,1,1,0,4
google/flan-t5-base,7bcac572ce56db69c1ea7c8af255c5d7c9672fc2,Sentinel_Prime_AI,7,1.8,5,2.0667,4.25,4,4.2143,3.25,2,3.3125,689.6765,44.9486,1,0,0,2,1,0,3
meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,overall,35,3.9697,33,3.9697,3.9091,33,4.0495,4.0,32,4.0612,1819.5358,27.8721,1,0,0,4,1,21,8
meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,Aido_Humanoid,7,4.5714,7,4.5714,4.2857,7,4.381,4.4286,7,4.4762,1913.4263,29.3415,0,0,0,1,0,6,0
meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,Aido_Rover,7,4.8571,7,4.8571,3.8571,7,4.2381,4.3571,7,4.5476,1549.1703,29.14,0,0,0,0,0,7,0
meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,Fari,7,3.1429,7,3.0435,4.0,7,3.8261,3.5714,7,3.4348,2646.8333,24.5576,1,0,0,1,0,3,2
meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,Senpai,7,3.6,5,3.6923,3.6,5,3.7333,4.0,4,4.0833,1480.7004,29.2333,0,0,0,0,0,2,5
meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,Sentinel_Prime_AI,7,3.5714,7,3.6667,3.7143,7,4.0,3.6429,7,3.8333,1507.5487,29.1865,0,0,0,2,1,3,1
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,overall,35,4.0588,34,4.08,4.4118,34,4.5,4.2576,33,4.2879,2542.0401,28.8295,0,1,3,9,0,19,3
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,Aido_Humanoid,7,4.3333,6,4.5,4.4286,7,4.619,4.3333,6,4.5,2764.3349,29.8703,0,0,2,2,0,2,1
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,Aido_Rover,7,4.2857,7,4.1905,4.5714,7,4.5714,4.4286,7,4.381,1830.3792,29.1899,0,0,1,1,0,5,0
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,Fari,7,4.0,7,4.0,4.1429,7,4.3913,4.0714,7,4.1957,2984.053,26.5698,0,0,0,1,0,4,2
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,Senpai,7,3.8571,7,4.0526,4.5,6,4.5,4.3333,6,4.3333,3203.1182,30.4614,0,1,0,3,0,3,0
mistralai/Mistral-7B-Instruct-v0.2,63a8b081895390a26e140280378bc85ec8bce07a,Sentinel_Prime_AI,7,3.8571,7,3.7619,4.4286,7,4.4286,4.1429,7,4.0952,1928.3151,27.7815,0,0,0,2,0,5,0
